Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
124,WRSS WB,6000.0,"""Różowe święta""",22 listopada 2021
125,WRSS Filologia,2890.0,"""Teatralny początek grudnia z WRSSWFilgUJ""",22 listopada 2021
126,Stowarzyszeniu Europejskie Forum Studentów AEGEE,2400.0,"""Management Training Course (MTC)""",22 listopada 2021
127,WRSS WPiA,5182.96,"""Wydziałowy Turniej Piłkarski""",22 listopada 2021
128,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,44765.38,"""Opłatek społeczności studenckiej Uniwersytetu Jagiellońskiego2021""",22 listopada 2021
129,WRSS WH,4500.0,"""Studencka Alternatywna Unia Nowości Uniwersytetu Jagiellońskiego (S.A.U.N.U.J)""",22 listopada 2021
130,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,16550.0,"""Wieczór filmów Świątecznych""",28 listopada 2021
131,WRSS WCh,990.0,"""Nie zostań na lodzie i zadbaj o zdrowie łyżwy z WRSS Chemii UJ""",30 listopada 2021
132,WRSS WCh,2160.0,"""Kultura nie jedno ma imię ol. 4""",30 listopada 2021
133,WRSS WZiKS,2640.28,"""Merry uiz mas""",30 listopada 2021
134,WRSS WCh,48.3,"""Zakup przypinek dla członków WRSS Wydziału Chemii UJ""",30 listopada 2021
135,Stowarzyszeniu All In UJ,676.5,"""Popiół i diament Piękny Polski Klasyk""",30 listopada 2021
136,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,780.0,"""MISHołajki Mikołajkowe wyjście na kręgle""",30 listopada 2021
137,Radzie Mieszkańców DS Bydgoska,1646.98,"""Zakup gier planszowych na potrzeby reali zacji wydarzenia Planszówki w DS Bydgoska""",30 listopada 2021
138,Zespołowi Informacji i Promocji Samorządu Studentów UJ,420.0,"""Nagrody na Konkursy Świąteczne Bożonarodzeniowe 2021""",30 listopada 2021
139,WRSS WCh,1698.51,"""Zakup gier planszo wych na potrzeby realizacji wydarzenia Świąteczne spotkanie integracyjne""",30 listopada 2021
140,Radzie Mieszkańców DS Bursa Jagiellońska,1442.0,"""Planszówki część II DS BJ""",30 listopada 2021
141,Bractwu Czapki Studenckiej UJ,1795.53,"""Materiały promocyjne czapki""",30 listopada 2021
142,Zespołowi Informacji i Promocji Samorządu Studentów UJ,4243.5,"""Gadżety z logiem Samorządu Studentów Uniwersytetu Jagiellońskiego""",30 listopada 2021
143,WRSS WH,1900.0,"""Chicago w teatrze ariete z SSWH UJ""",30 listopada 2021
144,WRSS WCh,1633.69,"""Zakup gadżetów na potrze by realizacji wydarzenia Spotkanie społeczności akademickiej Wydziału Chemii UJ""",30 listopada 2021
145,WRSS WCh,1273.58,"""Zakup gadżetów na potrzeby realizacji wydarzenia pt. Chemiczny kalendarz adwentowy""",30 listopada 2021
146,WRSS WH,650.0,"""Dyskusja na temat roli dzieł sztuki współcześnie""",30 listopada 2021
148,Wiceprzewodniczący(a) SSUJ,44464.5,"""Wydarzenie promujące szczepienia wśród studentów uczelni krakowskich""",6 grudnia 2021
149,WRSS WZiKS,850.0,"""Se ans filmowy z WZiKS ""Dom Gucci""""",7 grudnia 2021
150,WRSS WPiA,449.99,"""Doskonała pro mocja zakup subskrypcji programu komputerowego Can a""",13 grudnia 2021
151,WRSS WH,7357.33,"""Miko łaj wśród społeczności studenckiej Wydziału Historycznego""",13 grudnia 2021
152,"Radzie Mieszkańców DS ""Nawojka""",600.0,"""Konkurs Świąteczny w DS Nawojka""",13 grudnia 2021
153,Radzie Mieszkańców DS Bydgoska,457.5,"""Bluzy dla członków RM DS Bydgoska""",13 grudnia 2021
1,Przewodniczącej Zarządu Samorządu Studentów UJ,100000.0,Nie znaleziono nazwy projektu w uchwale,10 stycznia 2022
2,WRSS WH,12500.0,"""Bal Historyka 2022""",10 stycznia 2022
3,WRSS WH,1950.0,"""Wyjście do opery z SSWHUJ""",10 stycznia 2022
4,WRSS WH,970.0,"""Łyżwy z SSWH UJ""",10 stycznia 2022
5,WRSS WZiKS,1350.0,"""Ale ślisko Chodź z nami na lodowisko""",10 stycznia 2022
6,WRSS WSMiP,13417.0,"""Bluzy Wydziałowe na WSMiP UJ""",10 stycznia 2022
7,WRSS WCh,7359.71,"""Zakup gadżetów na potrzeby akcji Cała chemia wypełnia ankiety 9.0""",10 stycznia 2022
8,Sekretarzowi Zarządu Samorządu Studentów UJ,32964.0,"""Planery Studenckie na rok 2022""",14 stycznia 2022
9,WRSS WH,8440.92,"""Studencka Alternatywna Unia Nowości Uniwersytetu Jagiellońskiego (S.A.U.N.U.J) 2""",17 stycznia 2022
10,WRSS WCh,5040.0,"""Sesyjna Herbatka""",17 stycznia 2022
11,WRSS WGiG,7786.68,"""Bluzy wydziałowe""",17 stycznia 2022
12,WRSS WZiKS,3329.85,"""Akcja ankietyzacja pora na Twoją ocenę """,24 stycznia 2022
13,WRSS WH,14138.62,"""Wydział Historyczny UJ wypełnia ankiety """,24 stycznia 2022
14,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,4950.0,"""ZrelakS SUJ się z nami po sesji wyjazd na Noc Basenów w Termach Buko ina""",24 stycznia 2022
15,Bractwu Czapki Studenckiej UJ,3500.0,"""Studencie, załóż czapkę """,24 stycznia 2022
16,WRSS Filologia,3305.63,"""Turniej gier""",24 stycznia 2022
17,WRSS WH,3780.0,"""Sesja w Ko palni""",24 stycznia 2022
18,Zespołowi Informacji i Promocji Samorządu Studentów UJ,110.0,"""Walentynki z SSUJ""",8 lutego 2022
19,WRSS Filologia,3649.2,"""OZD na Wydziale Filologicznym semestr zimowy 2021 22""",8 lutego 2022
20,WRSS WCh,48.3,"""Zakup przypinek dla nowo wybranych członków Rady Wydziału Chemii UJ""",8 lutego 2022
21,WRSS WBBiB,676.5,"""Wypad na łyżwy z Samorządem Studentów WGIG i WBBIB""",8 lutego 2022
