Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
151,WRSS WMiI,23124.0,"""WMiI Zakłada Bluzy Uniwersytetu Jagiellońskiego 2022""",19 września 2022
152,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,4799.0,"""ABC Studenta 2022 część online i promocja wydarzenia """,19 września 2022
153,WRSS WMiI,15098.81,"""Dni Zero Wydziału Matematyki i Informatyki UJ""",28 września 2022
155,WRSS WH,3950.0,"""Gra terenowa ""Kra kowiacy w mieście""""",5 października 2022
156,"Radzie Mieszkańców DS ""Nawojka""",4718.0,"""Toga Party 2022""",5 października 2022
157,Zespołowi Informacji i Promocji Samorządu Studentów UJ,66912.0,"""Kalendarze akademickie 2022 2023""",5 października 2022
158,Stowarzyszeniu TęczUJ,7244.91,"""Tydzień Orientacyjny z Tę czUJ""",5 października 2022
159,AKT Rozdroże,2200.0,"""Rajd na Powitanie Roku Akademickiego 2022 23 w Beskid Sądecki i Pieniny Małe""",11 października 2022
160,WRSS WCh,300.0,"""Zakup środków higienicznych na potrzeby realiza cji projektu ""Skrzyneczki dla studentek Wydziału Chemii UJ""""",11 października 2022
161,WRSS WPiA,12029.63,"""Wydziałowa Liga Piłkarska""",11 października 2022
162,WRSS WCh,1725.0,"""Czapki dla Wydziało wej Rady Samorządu Studentów Wydziału Chemii UJ""",11 października 2022
163,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,100.0,"""Student s Language Con ersations (daw. Studenckie Konwersacje Językowe) promocja, semestr zimowy 22 23""",11 października 2022
164,WRSS WPiA,35000.0,"""Bal Absolwenta Wydziału Prawa i Administracji UJ 2022""",11 października 2022
165,WRSS WZiKS,6148.95,"""Jesienny zawrót głowy dni integracyjne WZiKS""",13 października 2022
166,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,5591.91,"""ABC Studenta 2022 część stacjonarna""",16 października 2022
168,WRSS WP,2101.4,"""Poetyckie Wymiary""",18 października 2022
169,WRSS WBBiB,23415.16,"""MiędzywydziałÓwkowy Wyjazd Integra cyjno Szkoleniowy MÓWISZ 2022""",18 października 2022
170,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,6249.09,"""Welcome to the SHOW""",18 października 2022
171,Zarządowi Samorządu Studentów Uniwersytetu Jagiellońskiego,1035.0,"""Czapki dla Zarządu Samo rządu Studentów UJ""",18 października 2022
172,AKT Rozdroże,2200.0,"""Otrzęsiny Górskie dla studentów I roku Uniwersytetu Jagiellońskiego""",24 października 2022
173,Stowarzyszeniu Erasmus Student Network UJ Kraków,4418.3,"""Wyjazd zagraniczny Członkiń Stowarzyszenia ESN UJ Kraków w celu udziału w zjeździe międzynarodowym General Assembly w Sakaryi (Turcja)""",24 października 2022
174,WRSS WCh,1160.0,"""Kultura niejedno ma imię ol.5""",24 października 2022
175,WRSS WPiA,25554.9,""" I Wyjazd Integracyjno Szkoleniowy WPiA UJ""",24 października 2022
176,Stowarzyszeniu Erasmus Student Network UJ Kraków,1680.0,"""Aerial Silks Workshops with ESN UJ Cracow""",31 października 2022
177,WRSS WPiA,2000.0,"""Single Party Impreza Integracyjna WPiA UJ""",31 października 2022
178,WRSS WCh,7884.2,"""Bluzy z logiem Wydziału Chemii UJ edycja 4 """,31 października 2022
181,WRSS WCh,1200.0,"""Chemiku, załóż czapkę """,31 października 2022
182,WRSS WCh,1800.0,"""Wyjście do Teatru ariete w Krakowie na spektakl ""Pretty Woman The Musical""",31 października 2022
183,WRSS WBBiB,500.0,"""Świąteczna promocja na WBBiB""",7 listopada 2022
184,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,880.0,""" FilMISH"" wieczór filmowy w celu integracji studentów MISH i SMP""",7 listopada 2022
186,WRSS WZiKS,650.0,"""Maszyneria teatru"" jako niekonwencjonalna podróż historyczna""",7 listopada 2022
187,WRSS WZiKS,22484.66,"""Wyjazd szkoleniowo integracyjny WRSS WZiKS UJ 2022""",7 listopada 2022
188,WRSS WBBiB,800.0,"""A atar II Istota wody"" obcowanie z kulturą""",7 listopada 2022
189,Stowarzyszeniu All in UJ,15000.0,"""All In UJ Winter Camp 2022""",7 listopada 2022
190,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,2131.77,"""zaSKOCZ na jesień""",7 listopada 2022
191,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,7465.89,"""Dia de los muertos""",7 listopada 2022
192,Bractwu Czapki Studenckiej UJ,1104.31,"""CIBA zjazd integracyjny studentów uczelni europejskich w Chimay 2022""",14 listopada 2022
193,WRSS WB,5000.0,"""Dziady Je sienne""",14 listopada 2022
194,WRSS WCh,2973.6,"""Urodziny Marii Skłodowskiej Curie""",14 listopada 2022
195,Stowarzyszeniu TęczUJ,5236.45,"""Tydzień Orientacyjny z TęczUJ""",14 listopada 2022
196,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,6178.27,"""W Piwnicach UJ historyczny pub uiz""",14 listopada 2022
197,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,13062.6,"""Materiały promocyjne na Targi Studenckiej Mobilności 2022""",14 listopada 2022
198,WRSS WGiG,11250.0,"""Bal Geografów""",14 listopada 2022
199,"Radzie Mieszkańców DS ""Nawojka""",2100.0,"""Andrzejki w Nawojce 2022""",14 listopada 2022
200,Przewodniczącemu Uczelnianej Komisji Ekonomicznej Samorządu Studentów Uniwersytetu Jagiellońskiego,4500.0,"""Warsztaty dla Uczelnianej Komisji Ekonomicznej SSUJ""",14 listopada 2022
201,Bractwu Czapki Studenckiej UJ,1800.0,"""Studencie, załóż czapkę """,14 listopada 2022
202,WRSS WCh,8560.7,"""Bluzy z logiem Wydziału Chemii UJ edycja 4 """,16 listopada 2022
203,Stowarzyszeniu Europejskie Forum Studentów AEGEE,3500.0,"""Management Training Course (MTC)""",21 listopada 2022
204,AKT Rozdroże,2400.0,"""Rajd Zimowy 2022 Beskid Sądecki """,21 listopada 2022
205,WRSS WBBiB,203.14,"""Gadżety konkursowe""",21 listopada 2022
206,WRSS WCh,806.03,"""Zakup środków higienicznych na potrzeby realizacji projektu ""Skrzyneczki dla studentek Wydziału Chemii UJ"" edycja 2""",21 listopada 2022
207,WRSS WP,948.4,"""Teatr mój widzę... Ślub""",21 listopada 2022
208,Zespołowi Informacji i Promocji Samorządu Studentów UJ,2655.47,"""HELPER S GENERATION UJ""",21 listopada 2022
209,Wiceprzewodniczący(a) SSUJ,6930.15,"""Zakup czekoladek świątecznych w ramach Opłatka Społeczności Studenckiej UJ""",21 listopada 2022
210,WRSS WP,706.92,"""Erasmus odcinek 1 Włochy""",28 listopada 2022
211,WRSS WP,15689.2,"""Wyjazd szkoleniowo integracyjny Wydziałowej Rady Sa morządu Studentów Wydziału Polonistyki UJ""",28 listopada 2022
212,WRSS WZiKS,1305.57,"""Co ma piernik do WZiKS u""",28 listopada 2022
213,WRSS WB,12750.0,"""Wyjazd integracyjno szkoleniowy WRSS WB""",28 listopada 2022
214,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,5500.0,"""Studenckie Łyżwy""",28 listopada 2022
215,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,6930.0,"""Targi Studenckiej Mobilności 2022""",28 listopada 2022
216,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,4010.2,"""Mariah Carries Christmas Świąteczne karaoke w Choice Club """,28 listopada 2022
217,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,30930.0,"""Opłatek Społeczności Studenckiej 2022""",28 listopada 2022
220,Radzie Mieszkańców DS Bydgoska,3500.0,"""Bydgoska"" dotację ze środków prze znaczonych przez uczelnię na sprawy studenckie w wysokości 3 500,00 zł (słownie trzy tysiące pięćset złotych 00 100) na realizację projektu ""Wigilia Bydgoska""",5 grudnia 2022
221,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,200.0,"""Międzywydziałowa Wigilia""",5 grudnia 2022
222,WRSS WMiI,4442.5,"""Koncert Zimowy 2022""",5 grudnia 2022
223,Zespołowi Informacji i Promocji Samorządu Studentów UJ,186.35,"""Konkurs Świąteczne Swetry 2022""",5 grudnia 2022
224,WRSS WH,3500.0,"""Remont i dostosowanie przestrzeni biurowej dla WRSS etap I,""",5 grudnia 2022
225,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,26139.81,"""Koncert Dychotomia""",12 grudnia 2022
1,WRSS WBBiB,2988.9,"""Przypinki dla WBBiB""",4 września 2023
2,WRSS WCh,3570.0,"""PrzygotUJ się z nami na laboratoria fartuchy dla pierwszorocznych studentów Wydziału Chemii UJ""",4 września 2023
2,WRSS WGiG,6586.65,"""Bluzy wydziałowe""",9 stycznia 2023
3,WRSS WCh,11000.0,"""Bal Chemika 2023""",9 stycznia 2023
3,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,93403.0,"""Dni Zero UJ 2023""",4 września 2023
4,WRSS WH,17400.0,"""Bal Historyka 2023""",9 stycznia 2023
5,WRSS WP,1500.0,"""Kolędowanie w Gołębniku""",9 stycznia 2023
5,WRSS WB,2242.8,"""Zakup gadżetów na potrzeby akcji ""Biologia pod lupą wypełniamy ankiety""",11 września 2023
6,WRSS WCh,3547.32,"""Zakup gadżetów na potrzeby akcji ""Sesyjne SOS dla studentów Wydziału Chemii UJ"" edycja nr 3""",9 stycznia 2023
6,WRSS WP,2250.0,"""Polonista, czyli aktywny miłośnik piesków Joga ze szczeniaczkami""",11 września 2023
7,WRSS WCh,5699.8,"""Bluzy z logiem Wydziału Chemii UJ edycja 4 """,9 stycznia 2023
7,WRSS WMiI,3972.27,"""Diamentowa Kreda 2023""",11 września 2023
8,WRSS WCh,5000.0,"""Zakup gadżetów na potrzeby akcji ""Cała chemia wypełnia ankiety 11.0""",9 stycznia 2023
8,Wiceprzewodniczący(a) SSUJ,15333.0,"""Dni Szkoleniowe z ekspertami studenckimi Polskiej Komisji Akredytacyjnej""",14 września 2023
9,WRSS WCh,2000.0,"""Akcja integracja Na dobry początek na Wydziale Chemii""",18 września 2023
9,WRSS WCh,700.0,"""Skrzyneczki dla studentek Wydziale Chemii UJ""",9 stycznia 2023
10,Zespołowi Informacji i Promocji Samorządu Studentów UJ,168359.44,"""Pakiety startowe 2023""",18 września 2023
10,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,41655.0,"""Rada Studentów PRSP""",9 stycznia 2023
11,WRSS Filologia,3246.21,"""Where is your color """,9 stycznia 2023
12,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,1242.39,"""Plakaty promocyjne działań kulturalnych SSUJ i WRSS na Uniwersytecie Jagiellońskim""",25 września 2023
13,Stowarzyszeniu Europejskie Forum Studentów AEGEE,15000.0,"""European Planning Me eting, Kraków 2023""",16 stycznia 2023
13,WRSS WPiA,749.14,"""Zakup artykułów wystawienniczych i elektronicznych na potrzeby WRSS WPiA UJ""",25 września 2023
14,WRSS WZiKS,3000.0,"""WZiKS can dance. Po prostu tańcz.""",16 stycznia 2023
15,WRSS WZiKS,8508.71,"""Dni integracji WZiKS 2023""",2 października 2023
15,Stowarzyszeniu All in UJ,3984.0,"""Science First poznaj praktyczny wymiar nauki""",16 stycznia 2023
16,WRSS WBBiB,10614.9,"""Bluzy wydziałowe WBBiB UJ""",16 stycznia 2023
16,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,559.65,"""Promocja informatora studenckiego i kalendarza wydarzeń studenckich""",2 października 2023
17,WRSS WH,680.0,"""Wy działowe Wyjście do kina ""Niebezpieczni Dżentelmeni""",16 stycznia 2023
17,WRSS WPiA,43000.0,"""Bal Absolwenta Wydziału Prawa i Administracji UJ 2023""",2 października 2023
18,WRSS WBBiB,4610.25,"""ZaangażUJ""",23 stycznia 2023
18,Przewodniczącej Uczelnianej Komisji Prawnej Samorządu Studentów Uniwersytetu Jagiellońskiego,1931.59,"""Nie trać głosu studenci na wybory """,3 października 2023
19,AKT Rozdroże,2200.0,"""Rozdroże"" dotację ze środków przeznaczonych przez uczelnię na sprawy studenckie w wysokości 2 200,00 zł (słownie dwa tysiące dwieście złotych 00 100) na realizację projektu ""Rajd w Ferie 2023 Na Gorc i Magurki""",30 stycznia 2023
19,WRSS WMiI,16850.0,"""ZorientUJ się na WMiI 2023""",9 października 2023
20,WRSS WPiA,269.0,"""Router dla Samorządu WPiA UJ""",9 października 2023
20,WRSS Filologia,1836.18,"""Festiwal językowo kulturalny ""W swa dni dookoła świata""",30 stycznia 2023
21,WRSS Filologia,23000.0,"""Wyjazd szkoleniowo integracyjny Wydziału Filologicz nego""",30 stycznia 2023
22,Bractwu Czapki Studenckiej UJ,3000.0,"""Studencie, Załóż Czapkę """,3 lutego 2023
23,WRSS WB,8816.27,"""Bal Magistra Wydziału Biologii 2021 2023""",3 lutego 2023
24,WRSS WBBiB,416.8,"""Popcornada""",3 lutego 2023
25,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,29520.0,"""Bal na rozpoczęcie kadencji""",10 października 2023
25,Bractwu Czapki Studenckiej UJ,3582.26,"""Kudłacze""",3 lutego 2023
26,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,6483.82,"""Welcome to the PRL""",11 października 2023
26,WRSS WCh,1600.0,"""Wyjście na paintball laserowy""",3 lutego 2023
27,WRSS WCh,1395.0,"""Wyjście do Teatru ariete w Krakowie na spektakl ""Do dwóch razy sztuka""",3 lutego 2023
27,Stowarzyszeniu Europejskie Forum Studentów AEGEE,3500.0,"""Local Training Course Freshmen s Sur i al FRESH II""",16 października 2023
28,WRSS Filologia,26325.0,"""Wyjazd szkoleniowo integracyjny trzech wydziałów""",16 października 2023
28,WRSS WP,369.0,"""Promocja wydarzeń wiosennych WKK WRSS WP""",3 lutego 2023
29,WRSS WCh,510.0,"""Wyjście do Kina pod Baranami w Krakowie na seans ""T r""""",3 lutego 2023
29,WRSS WSMiP,3500.0,"""Studenckie Otrzęsiny Międzywydziałowa Halloweenowa Integracja WSMiP WFilg""",16 października 2023
30,WRSS WB,4822.9,"""Dziady jesienne""",16 października 2023
30,WRSS WCh,4261.6,"""Zakup gadżetów na potrzeby realizacji wydarzenia organizowanego w ramach Tygodnia Jakości Kształcenia""",3 lutego 2023
31,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,10700.0,"""Wyjazd Integracyjny studentów MISH UJ październik 2023""",16 października 2023
31,WRSS WCh,2125.0,"""Wślizgnij się w nowy semestr chodź z nami na łyżwy """,3 lutego 2023
32,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,7900.0,"""Po Nowej Hucie objazdowa wycieczka""",16 października 2023
32,WRSS WZiKS,27884.0,"""WZiKS owe Przebiśniegi 2023""",3 lutego 2023
33,WRSS WCh,300.0,"""Wieczór z plan szówkami na Wydziale Chemii ol. 1""",3 lutego 2023
34,Przewodniczącemu Uczelnianej Komisji Ekonomicznej Samorządu Studentów Uniwersytetu Jagiellońskiego,11776.8,"""Wyjazd szkoleniowo integracyjny Uczelnianej Komisji Ekonomicznej SSUJ""",3 lutego 2023
35,Sekretarzowi Zarządu Samorządu Studentów UJ,1040.0,"""Zakup czapek studenckich dla Zarządu Samorządu Studentów Uniwersytetu Jagiellońskiego""",18 października 2023
35,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,7897.18,"""Last Snow Narty SSUJ""",3 lutego 2023
36,WRSS WBBiB,1166.0,"""Przypinki dla WBBiB UJ""",23 października 2023
36,WRSS WPiA,26791.0,""" II Wyjazd Szkoleniowo Integracyjny WPiA UJ""",3 lutego 2023
37,WRSS WCh,2530.0,"""Świętuj z nami 156. urodziny Marii """,23 października 2023
37,WRSS WCh,5380.0,"""WChem UJ uskrzydla szkolenia dla studentów Wydziału Chemii UJ na Audy tora Wewnętrznego systemu zarządzania w laboratoriach badawczych wg. normy PN EN ISO IEC 17025 2018""",15 lutego 2023
38,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,95.0,"""Promocja wydarzenia Studenckie Konwersacje Językowe (Student Language Con ersations)""",23 października 2023
38,Stowarzyszeniu TęczUJ,13840.0,"""Wyjazd Integra cyjno szkoleniowy TęczUJ""",20 lutego 2023
39,Stowarzyszeniu Erasmus Student Network UJ Kraków,1210.0,"""Orientation Week with ESN UJ KRAKÓW""",21 lutego 2023
39,WRSS WPiA,10497.23,"""Pożegnanie absolwentów rocznika 2023""",23 października 2023
40,Radzie Kół Naukowych Uniwersytetu Jagiellońskiego,6841.0,"""Podział środków I A 2023 RKN UJ""",23 października 2023
40,AKT Rozdroże,2600.0,"""Rajd Posesyjny 2023 Na Przehybę i Trzy Korony""",27 lutego 2023
41,WRSS WPiA,18935.0,"""Uroczystość graduacyjna absolwentów WPiA Roczników 2020, 2021, 2022""",27 lutego 2023
41,Bractwu Czapki Studenckiej UJ,2100.0,"""Studencie, załóż czapkę """,30 października 2023
42,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,8610.0,"""Aplikacja mobilna Studencki Ty dzień Sztuki""",27 lutego 2023
42,WRSS WZiKS,1105.22,"""Międzynarodowy Dzień Niewidomych na WZiKSie""",30 października 2023
43,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,3550.0,"""Blinded by the lights""",27 lutego 2023
43,WRSS WP,237.39,"""Promocja oraz identyfikacja wizualna WRSS Wydziału Polonistyki""",30 października 2023
44,Stowarzyszeniu All in UJ,13500.0,"""All in UJ Winter Camp 2023""",30 października 2023
45,AKT Rozdroże,2850.0,"""Otrzęsiny Górskie dla studentów I roku Uniwersytetu Jagiellońskiego""",30 października 2023
45,WRSS WZiKS,1020.0,"""Wskocz z nami w nowy semestr""",6 marca 2023
46,WRSS Filologia,2500.0,"""Wednesday Party Impreza integracyjna WPiA i Wydziału Filologicznego UJ""",6 marca 2023
46,WRSS FAIS,12259.0,"""Wyjazd integracyjno szkoleniowy dla studentów 1. roku""",30 października 2023
47,Stowarzyszeniu Europejskie Forum Studentów AEGEE,3500.0,"""Local Training Course Fresh man s Sur i al FRESH I""",6 marca 2023
47,Stowarzyszeniu Erasmus Student Network UJ Kraków,875.0,"""Uczestnictwo w Zjeździe National Assembly ESN Czech Republic""",6 listopada 2023
48,"Radzie Mieszkańców DS ""Nawojka""",2500.0,"""Dzień Świętego Patryka w DS. Nawojka""",6 marca 2023
48,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,5014.11,"""Koncert Niech no tylko zakwitną jabłonie""",6 listopada 2023
49,Stowarzyszeniu Europejskie Forum Studentów AEGEE,3500.0,"""MTC Management Training Course 2023""",6 listopada 2023
49,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,362.0,"""Wydruk ulotek reklamowych MISH UJ na Dzień Otwarty Uniwersytetu Jagiellońskiego""",13 marca 2023
50,AKT Rozdroże,2600.0,"""Rajd na Powitanie Wiosny 2023 Barania Góra i Skrzyczne""",13 marca 2023
51,organizacjom studenckim,20000.0,Nie znaleziono nazwy projektu w uchwale,13 listopada 2023
52,Stowarzyszeniu Erasmus Student Network UJ Kraków,3100.0,"""Wyjazd Szkoleniowo Integracyjny z ESN UJ Kraków""",13 marca 2023
52,WRSS WGiG,5400.0,"""Bal Geografa""",13 listopada 2023
53,Radzie Kół Naukowych Uniwersytetu Jagiellońskiego,3500.0,"""Walne po walnym RKN UJ""",13 marca 2023
54,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,7497.0,"""Bankiet pokonferencyjny TED Jagiellonian Uni ersity""",13 listopada 2023
54,Radzie Kół Naukowych Uniwersytetu Jagiellońskiego,3500.0,"""Jubileusz 35 lecia Rady Kół Naukowych UJ""",13 marca 2023
55,WRSS WPiA,7725.93,"""Międzywydziałowa Liga Piłkarska""",20 listopada 2023
55,Pełnomocniczce ds. organizacji międzynarodowych Samorządu Studentów Uniwersytetu Jagiellońskiego,3000.0,"""Let s Get uizzical""",13 marca 2023
56,WRSS WH,6632.0,"""Bal Instytutu Historii Sztuki UJ""",16 marca 2023
56,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,3520.26,"""Bluzy dla Uczelnianej Komisji ds. Projektów i Współprac""",20 listopada 2023
57,Organizacji Uczelnianej Niezależne Zrzeszenie Studentów Uniwersytetu Jagiellońskiego,301.19,"""Studenci dla Futrzaków""",20 listopada 2023
57,WRSS WSMiP,4305.0,"""Back to 90s""",20 marca 2023
58,WRSS WZiKS,26139.95,"""Wyjazd szkoleniowo integracyjny WRSS WZiKS UJ 2023""",21 listopada 2023
58,Stowarzyszeniu Erasmus Student Network UJ Kraków,1524.0,"""Wycieczka do Auschwitz Birkenau z ESN UJ Kra ków""",20 marca 2023
59,Stowarzyszeniu All in UJ,10000.0,"""All in UJ Spring Camp""",20 marca 2023
59,WRSS WMiI,3100.0,"""Koncert Zimowy 2023""",27 listopada 2023
60,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,77599.6,"""Stu dencki Tydzień Sztuki 2023""",20 marca 2023
60,WRSS WP,1276.84,"""Poetyckie Wymiary""",27 listopada 2023
61,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,5750.0,"""Bluzy wydziałowe MISH""",27 listopada 2023
62,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,2220.0,"""Doggy Yoga""",27 listopada 2023
62,WRSS WMiI,3950.0,"""Konkursy z okazji Studenckiego Festiwalu Informatycz nego""",20 marca 2023
63,WRSS WZiKS,6365.61,"""Święta z Kulturką """,27 listopada 2023
64,Stowarzyszeniu DKMS Polska,1801.0,"""Helper s Generation UJ""",27 marca 2023
64,WRSS WZiKS,11758.22,"""Cieplutko na WZiKSie zakup bluz promujących WZiKS""",27 listopada 2023
65,Zespołowi ds. Przeciwdziałania Przemocy i Dyskryminacji SSUJ,2200.0,"""Obroń się z ZPPiD""",27 marca 2023
65,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,7031.73,"""Mikołajkowy Wieczór Filmowy""",27 listopada 2023
66,WRSS WPiA,37000.0,"""Bal Półmetkowy WPiA UJ 2023""",27 marca 2023
66,WRSS WPiA,2000.0,"""Andrzejki WPiA UJ UJ CM Impreza Integracyjna""",27 listopada 2023
67,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,23809.0,"""Opłatek Społeczności Studenckiej 2023""",27 listopada 2023
68,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,52403.12,"""Promocja Studenckiego Tygodnia Sztuki 2023""",29 marca 2023
68,Przewodniczącej Zarządu Samorządu Studentów UJ,67429.83,"""Artykuły promocyjne SSUJ""",27 listopada 2023
69,Radzie Kół Naukowych Uniwersytetu Jagiellońskiego,3155.3,"""Podział środków I B 2023 RKN UJ""",27 listopada 2023
69,WRSS WZiKS,784.22,"""PoszukUJ wiedzy Wziksowy Flower Hunting""",3 kwietnia 2023
70,Stowarzyszeniu TęczUJ,3492.9,"""GNIEW""",3 kwietnia 2023
71,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,3075.0,"""Kurs tańca Tańce lat 20.""",29 listopada 2023
71,Studenckiej Poradni Prawnej Uniwersytetu Jagiellońskiego,3697.76,"""Wyjazd szko leniowo integracyjny Studenckiej Poradni Prawnej Uniwersytetu Jagiellońskiego 2022 2023""",3 kwietnia 2023
72,Zespołowi Informacji i Promocji Samorządu Studentów UJ,23468.4,"""Bluzy Samorządowe 2023.""",29 listopada 2023
72,Stowarzyszeniu TęczUJ,2566.0,"""Materiały promocyjne dla organizacji TęczUJ""",3 kwietnia 2023
73,WRSS Filologia,3500.0,"""Let it snow Międzywydziałowa Integracja Świąteczna Wfilg WSMiP""",4 grudnia 2023
73,AKT Rozdroże,2400.0,"""Rajd w Beskid Wyspowy 2023""",3 kwietnia 2023
74,WRSS WPiA,3000.0,"""""Wiosenne Single Party"" Im preza Integracyjna WPiA UJ i Wydziału Filologicznego UJ""",3 kwietnia 2023
74,WRSS WBBiB,985.9,"""Opowieść studencka""",4 grudnia 2023
75,Stowarzyszeniu All In UJ,3493.2,"""""Historie pisane obrazem i dźwiękiem cykl warsz tatów filmowych z All In UJ""",3 kwietnia 2023
75,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,300.0,"""Międzywydziałowe Pierniczki""",4 grudnia 2023
76,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,16747.49,Nie znaleziono nazwy projektu w uchwale,3 kwietnia 2023
76,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,32164.74,"""Bal Karnawałowy Karnawałowy Blichtr Ery Prohibicji""",4 grudnia 2023
77,Bractwu Czapki Studenckiej UJ,6901.95,"""Wyjazd na Otaniemi s The World międzynarodowy zjazd tradycji studenckich w Espoooraz wio senny festiwal Wappu w Helsinkach""",12 kwietnia 2023
77,WRSS WP,18300.0,"""Wyjazd szkoleniowo integracyjny Wydziałowej Rady Samorządu Studentów Wydziału Polonistyki UJ""",4 grudnia 2023
78,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,2319.75,"""Pub uiz ""Get To Know the Culture""",12 kwietnia 2023
78,WRSS WH,20000.0,"""Bal Historyka 2024""",4 grudnia 2023
79,Zarządowi Samorządu Studentów Uniwersytetu Jagiellońskiego,5690.0,"""Zakup upominków świątecznych w ramach Opłatka Społeczności Studenckiej 2023""",4 grudnia 2023
80,Zarządowi Samorządu Studentów Uniwersytetu Jagiellońskiego,3100.0,"""Świąteczne Czapki dla Samorządu Studentów UJ edycja 2023""",4 grudnia 2023
81,WRSS WP,2195.0,"""Poetyckie Wymiary""",17 kwietnia 2023
81,WRSS WSMiP,3520.26,"""Bluzy dla Wydziałowej Rady Samorządu Studentów Wydziału Studiów Międzynarodowych i Politycznych""",11 grudnia 2023
82,WRSS WB,3500.0,"""2000 s Babies""",17 kwietnia 2023
82,WRSS Filozofia,5749.86,"""Bluzy dla członków WRSS Filozoficznego oraz studentów Wydziału Filozoficznego.""",11 grudnia 2023
83,WRSS WZiKS,3724.35,"""Jungle Party w ZOO małpi gaj""",17 kwietnia 2023
83,WRSS WPiA,25603.59,"""Bluzy wydziałowe Wydziału Prawa i Administracji UJ 2023""",18 grudnia 2023
84,WRSS FAIS,31740.0,"""Bal Ścisłowca""",17 kwietnia 2023
85,Przewodniczącej Radzie Domów Studenckich,3100.0,"""Olimpiada MiędzyAkademikowa I Etap""",17 kwietnia 2023
86,WRSS WH,1230.0,"""Integracja społeczności akademickiej Wydziału Historycznego """,21 kwietnia 2023
87,WRSS Filologia,1620.0,"""Wieczór piosenki francuskiej""",25 kwietnia 2023
